region,location_type,gernder,age,education,count
Гродненская,Село,Мужской,51-60,Другое,517
Гродненская,Село,Мужской,старше 60,Высшее,2088
Гродненская,Село,Мужской,старше 60,Среднее специальное,2570
Гродненская,Село,Мужской,старше 60,Профессионально-техническое,1696
Гродненская,Село,Мужской,старше 60,Базовое / Среднее общее (школа),11334
Гродненская,Село,Мужской,старше 60,Другое,15209
Гродненская,Село,Женский,18-30,Высшее,2347
Гродненская,Село,Женский,18-30,Среднее специальное,5960
Гродненская,Село,Женский,18-30,Профессионально-техническое,2644
Гродненская,Село,Женский,18-30,Базовое / Среднее общее (школа),7000
Гродненская,Село,Женский,18-30,Другое,252
Гродненская,Село,Женский,31-40,Высшее,2611
Гродненская,Село,Женский,31-40,Среднее специальное,7313
Гродненская,Село,Женский,31-40,Профессионально-техническое,2884
Гродненская,Село,Женский,31-40,Базовое / Среднее общее (школа),6330
Гродненская,Село,Женский,31-40,Другое,217
Гродненская,Село,Женский,41-50,Высшее,3445
Гродненская,Село,Женский,41-50,Среднее специальное,8939
Гродненская,Село,Женский,41-50,Профессионально-техническое,2902
Гродненская,Село,Женский,41-50,Базовое / Среднее общее (школа),7072
Гродненская,Село,Женский,41-50,Другое,255
Гродненская,Село,Женский,51-60,Высшее,3000
Гродненская,Село,Женский,51-60,Среднее специальное,6795
Гродненская,Село,Женский,51-60,Профессионально-техническое,1527
Гродненская,Село,Женский,51-60,Базовое / Среднее общее (школа),7676
